"ID","Envir01","Envir02","Envir03","Mobil11","Mobil14","Mobil16","Mobil17","ContIncome_0_4000","ContIncome_4000_6000","ContIncome_6000_8000","ContIncome_8000_10000","ContIncome_10000_more","age_65_more","moreThanOneCar","moreThanOneBike","individualHouse","male","haveChildren","haveGA","highEducation","TimePT","TimeCar","WaitingTimePT","CostCar_HWH","CostCar_Other","CostPT_HWH","CostPT_Other","distance_km","Choice"
10350272,2,1,3,6,3,3,6,4,2,1,0,0,0,1,1,1,1,1,0,0,250,40,137,0,7.39,0,11,49.5,1
10359998,1,3,5,6,3,3,6,4,1,0,0,0,0,1,1,0,1,1,0,0,33,9,5,0.97,0,3,0,7,1
10360009,6,3,4,4,3,4,4,4,2,1,0,0,1,1,1,1,1,1,0,0,29,9,0,0,1.32,0,6.2,9,1
10360009,6,3,4,4,3,4,4,4,2,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0.2,0,0,0.8,2
10360009,6,3,4,4,3,4,4,4,2,1,0,0,1,1,1,1,1,1,0,0,71,14,4,1.52,0,4.8,0,11,1
10360009,6,3,4,4,3,4,4,4,2,1,0,0,1,1,1,1,1,1,0,0,90,5,38,0.6,0,6.2,0,3,1
10360011,3,4,2,3,3,4,4,4,2,1,0,0,0,1,1,1,1,0,0,0,180,45,41,6.35,0,26.4,0,44.5,1
10360011,3,4,2,3,3,4,4,4,2,1,0,0,0,1,1,1,1,0,0,0,312,93,51,20.1,0,59.6,0,135.5,1
10360014,3,1,3,5,4,3,3,4,2,1,0,0,0,1,1,1,1,1,0,1,95,27,8,0,4.07,0,9.6,28,1
10360023,1,4,2,4,3,2,3,4,2,2,1,0,0,1,1,0,0,0,0,0,162,10,31,0,1.12,0,0,7,1
10360023,1,4,2,4,3,2,3,4,2,2,1,0,0,1,1,0,0,0,0,0,111,19,14,0,2.06,0,0,16.5,1
10360023,1,4,2,4,3,2,3,4,2,2,1,0,0,1,1,0,0,0,0,0,182,12,30,0,1.35,0,0,11,1
10360024,4,4,2,4,2,2,4,4,2,2,1,0,0,1,1,1,1,0,0,0,200,26,12,0,3.34,0,15.2,24.5,1
10360035,6,3,5,4,2,2,6,4,2,2,1,0,0,1,1,1,0,1,0,0,118,33,10,0,4.7,0,11,30,1
10360095,4,5,3,4,4,2,4,4,2,1,0,0,0,1,1,1,0,0,0,0,50,16,0,2.35,0,4.8,0,15,1
10360095,4,5,3,4,4,2,4,4,2,1,0,0,0,1,1,1,0,0,0,0,63,16,7,2.32,0,4.8,0,16,1
10360122,2,4,4,5,4,4,4,4,1,0,0,0,1,1,0,1,1,0,0,1,153,33,31,0,4.38,0,10.5,31,1
10360139,2,4,3,5,4,4,5,4,2,2,2,5,0,1,1,1,0,1,0,0,135,33,11,0,4.46,0,7.8,31,1
10360139,2,4,3,5,4,4,5,4,2,2,2,5,0,1,1,1,0,1,0,0,0,2,0,0,0.49,0,2.2,1.4,1
10360159,1,3,4,5,4,4,6,4,1,0,0,0,0,0,1,1,0,1,0,0,232,29,40,0,3.2,0,11.8,22.5,1
10360159,1,3,4,5,4,4,6,4,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0.2,0,0,0.4,2
10360162,2,5,3,4,5,1,6,3,0,0,0,0,1,0,1,1,1,0,0,0,98,5,9,0,0.6,0,3,3.5,1
10360162,2,5,3,4,5,1,6,3,0,0,0,0,1,0,1,1,1,0,0,0,11,2,0,0,0.21,0,2.2,0.7,2
10360162,2,5,3,4,5,1,6,3,0,0,0,0,1,0,1,1,1,0,0,0,15,3,0,0,0.46,0,0,1.1,2
10360177,1,5,3,5,3,4,5,4,2,2,1,0,0,1,1,1,1,0,0,0,131,15,5,0,2.32,0,12.4,16.5,1
10360177,1,5,3,5,3,4,5,4,2,2,1,0,0,1,1,1,1,0,0,0,213,39,53,0,7.06,0,24.8,54,1
10360193,3,4,6,5,3,4,5,4,2,2,2,5,0,1,0,1,1,0,0,1,159,28,11,0,4.61,0,43.2,32.5,1
10360195,4,5,6,6,5,3,4,4,2,2,1,0,0,1,1,1,0,1,0,0,194,47,22,0,6.98,0,9.6,51.5,1
10360196,4,5,6,6,5,3,4,4,2,2,1,0,0,1,1,1,0,1,0,0,126,26,12,0,3.68,0,6.6,27,1
10360202,2,5,3,5,4,4,4,4,2,1,0,0,0,1,1,1,0,1,0,0,69,5,7,0,0.59,0,4.8,4.5,1
10360202,2,5,3,5,4,4,4,4,2,1,0,0,0,1,1,1,0,1,0,0,123,3,21,0,0.42,0,18.4,3,1
10360212,5,5,5,5,4,5,3,4,2,2,1,0,0,1,0,1,1,0,0,1,61,15,7,0,2.39,0,6.2,16,1
10360212,5,5,5,5,4,5,3,4,2,2,1,0,0,1,0,1,1,0,0,1,73,8,9,0,0.87,0,6.2,6.5,1
10360225,2,2,3,5,2,5,4,4,2,2,1,0,0,0,1,1,0,0,0,1,60,17,4,2.45,0,2.4,0,16,1
10360225,2,2,3,5,2,5,4,4,2,2,1,0,0,0,1,1,0,0,0,1,228,64,15,0,12.8,0,38.9,97,1
10360225,2,2,3,5,2,5,4,4,2,2,1,0,0,0,1,1,0,0,0,1,269,180,24,38.61,0,44.6,0,298,1
10360235,1,3,1,4,4,4,5,4,2,2,2,5,0,1,1,1,1,1,0,0,219,49,86,9.04,0,38.4,0,67,1
10360236,1,2,4,4,4,5,5,4,2,2,2,5,0,1,1,1,0,1,0,0,193,40,14,0,5.03,0,15.8,32.5,1
10360266,3,5,3,4,1,2,2,4,1,0,0,0,1,0,0,1,0,0,0,0,74,22,9,0,2.46,0,3.9,15.5,1
10360266,3,5,3,4,1,2,2,4,1,0,0,0,1,0,0,1,0,0,0,0,162,14,39,0,1.58,0,3,9,1
10360266,3,5,3,4,1,2,2,4,1,0,0,0,1,0,0,1,0,0,0,0,84,34,1,0,4.7,0,5.5,30,1
10360284,4,5,2,4,2,2,4,4,2,1,0,0,1,1,1,1,0,0,0,0,162,33,26,0,4.63,0,7,34,1
10360284,4,5,2,4,2,2,4,4,2,1,0,0,1,1,1,1,0,0,0,0,151,28,25,0,3.28,0,4.8,21.6,1
10360285,2,3,3,4,3,4,5,4,2,1,0,0,0,1,1,1,0,1,0,1,176,30,6,0,4.49,0,11,29,1
10360285,2,3,3,4,3,4,5,4,2,1,0,0,0,1,1,1,0,1,0,1,143,34,17,0,4.79,0,11,30,1
10360286,3,3,3,3,2,4,4,4,2,1,0,0,0,1,1,1,1,1,0,1,185,61,34,0,11.78,0,43.2,88,1
10360322,2,2,3,5,4,4,4,4,2,1,0,0,0,0,1,1,0,1,0,0,142,42,30,0,7.45,0,26,58,1
10360322,2,2,3,5,4,4,4,4,2,1,0,0,0,0,1,1,0,1,0,0,108,18,5,0,1.83,0,11,12.5,1
10360414,1,3,3,4,4,3,4,4,2,1,0,0,0,0,1,1,1,1,0,0,108,23,15,0,3.4,0,9.6,25,1
10360414,1,3,3,4,4,3,4,4,2,1,0,0,0,0,1,1,1,1,0,0,102,24,18,3.73,0,9.6,0,27,1
10360415,2,3,3,4,4,4,4,4,2,1,0,0,0,0,1,1,0,1,0,0,77,18,8,0,2.01,0,6,14,1
10360458,1,5,2,4,4,5,4,4,2,2,1,0,0,1,1,1,0,1,0,0,9,0,0,0,0.07,0,2.2,0.2,1
10360458,1,5,2,4,4,5,4,4,2,2,1,0,0,1,1,1,0,1,0,0,16,3,0,0,0.37,0,2.2,3,1
10360460,2,4,3,4,2,4,3,4,2,2,1,0,0,1,0,0,1,0,0,0,66,16,20,0,2.41,0,9.6,17,1
10360462,1,3,4,5,4,5,6,2,0,0,0,0,1,0,0,0,0,0,0,1,124,46,27,0,6.68,0,12.4,50.5,1
10360464,2,4,3,4,6,4,3,4,2,2,1,0,0,0,1,1,1,0,0,0,91,22,11,2.95,0,0,0,22.5,0
10360465,1,2,6,4,4,4,4,4,2,2,1,0,0,0,1,1,0,1,0,0,138,12,18,0,1.32,0,9.6,10.5,1
10360465,1,2,6,4,4,4,4,4,2,2,1,0,0,0,1,1,0,1,0,0,130,20,17,0,2.74,0,9.6,20.5,1
10360475,5,5,4,5,5,4,5,4,2,2,2,5,0,1,1,1,1,1,0,1,53,1,0,0,0.16,0,2.8,0.7,0
10360518,2,3,1,4,4,4,4,4,2,2,2,5,0,1,1,1,0,0,0,1,104,35,11,4.63,0,11,0,31,1
10360519,3,3,4,3,4,2,4,4,2,2,2,5,0,1,1,1,1,0,0,1,279,117,38,15.35,0,46.2,0,109,1
10360526,2,5,1,4,4,4,4,4,1,0,0,0,0,0,1,0,1,1,0,0,151,44,10,0,5.89,0,0,38.5,0
10360527,2,4,2,4,5,4,4,4,1,0,0,0,0,0,1,0,0,1,0,0,102,14,17,0,2.24,0,4.8,16.5,1
10360527,2,4,2,4,5,4,4,4,1,0,0,0,0,0,1,0,0,1,0,0,82,12,13,0,1.48,0,3,11,1
10360532,1,4,6,3,3,3,5,4,2,2,1,0,0,1,1,0,1,1,0,1,105,29,18,4.63,0,11,0,31,1
10360533,1,4,1,4,4,3,2,4,2,2,1,0,0,1,1,0,0,1,0,0,251,76,59,0,15.96,0,65.8,119,1
10360536,1,2,2,5,5,4,4,4,2,1,0,0,0,0,0,0,1,0,0,1,166,41,5,0,4.34,0,12.6,30,1
10360564,1,4,4,4,3,3,5,4,1,0,0,0,1,1,0,1,1,0,0,0,105,45,12,0,6.78,0,10.2,49,1
10360564,1,4,4,4,3,3,5,4,1,0,0,0,1,1,0,1,1,0,0,0,146,55,12,0,9.92,0,16.4,72,1
10360574,4,5,5,4,2,2,5,4,2,1,0,0,0,1,1,0,1,1,0,0,58,16,4,2.42,0,4.8,0,16,1
10360574,4,5,5,4,2,2,5,4,2,1,0,0,0,1,1,0,1,1,0,0,51,16,13,0,1.22,0,4.8,8.5,1
10360574,4,5,5,4,2,2,5,4,2,1,0,0,0,1,1,0,1,1,0,0,44,15,0,2.24,0,4.8,0,14,1
10360575,2,5,4,5,2,4,5,4,2,1,0,0,0,1,1,0,0,1,0,0,81,15,45,0,2.39,0,6.2,18,1
10360575,2,5,4,5,2,4,5,4,2,1,0,0,0,1,1,0,0,1,0,0,19,3,0,0,0.42,0,2.2,3,1
10360575,2,5,4,5,2,4,5,4,2,1,0,0,0,1,1,0,0,1,0,0,49,16,2,0,2.42,0,2.4,16,1
10360626,3,4,5,2,4,3,4,4,2,2,2,5,0,0,0,1,1,0,0,0,45,15,0,2.15,0,2.4,0,15,1
10540009,2,3,3,2,2,2,6,4,2,1,0,0,0,1,1,1,0,1,0,0,222,55,34,9.06,0,49.6,0,69,1
10540009,2,3,3,2,2,2,6,4,2,1,0,0,0,1,1,1,0,1,0,0,99,16,3,0,1.76,0,5.6,13,1
10540009,2,3,3,2,2,2,6,4,2,1,0,0,0,1,1,1,0,1,0,0,65,5,0,0,0.6,0,5.4,3.8,1
10540046,4,4,1,2,2,2,2,4,1,0,0,0,0,0,0,1,1,0,0,0,120,39,4,0,3.85,0,6.1,22.5,1
10540063,3,4,4,5,5,5,5,3,0,0,0,0,1,0,0,1,1,0,0,0,67,10,4,0,1.09,0,4.8,8,1
10540063,3,4,4,5,5,5,5,3,0,0,0,0,1,0,0,1,1,0,0,0,57,18,5,2.15,0,4.8,0,15,1
10540066,3,4,3,5,4,4,4,4,2,2,1,0,0,1,1,1,1,1,0,0,57,17,2,1.99,0,2.4,0,15,1
10540067,3,4,3,5,4,4,4,4,2,2,1,0,0,1,1,1,1,1,0,0,26,32,0,0,3.31,0,2.2,25,1
10540067,3,4,3,5,4,4,4,4,2,2,1,0,0,1,1,1,1,1,0,0,10,0,0,0,0.07,0,2.2,0.4,1
10540067,3,4,3,5,4,4,4,4,2,2,1,0,0,1,1,1,1,1,0,0,66,16,2,1.75,0,2.2,0,12,1
10540067,3,4,3,5,4,4,4,4,2,2,1,0,0,1,1,1,1,1,0,0,42,3,0,0,0.36,0,2.2,2,1
10540128,2,3,3,5,4,5,5,4,1,0,0,0,0,1,1,1,0,0,0,0,124,40,5,0,3.77,0,12.2,23.5,1
10540130,2,4,1,5,3,3,3,4,2,2,1,0,0,1,1,1,1,1,0,0,120,36,2,3.64,0,5.5,0,24,1
10540131,1,3,1,4,5,2,1,4,2,2,1,0,0,1,1,1,0,1,0,0,101,31,9,0,4.54,0,8.8,32,1
10540131,1,3,1,4,5,2,1,4,2,2,1,0,0,1,1,1,0,1,0,0,105,31,1,0,4.51,0,7.1,32,1
10540168,2,4,4,5,4,5,5,4,2,2,1,0,1,0,1,0,0,0,0,1,149,14,5,0,1.5,0,3.9,10,1
10540169,1,3,5,4,3,4,5,4,1,0,0,0,1,0,1,0,1,0,0,0,112,20,3,0,2.21,0,3.9,17.5,1
10540178,1,5,3,5,5,4,5,4,2,2,1,0,0,1,1,0,1,0,0,0,66,3,32,0,0.39,0,4.8,2.5,1
10540178,1,5,3,5,5,4,5,4,2,2,1,0,0,1,1,0,1,0,0,0,186,34,19,0,3.94,0,8.2,28,1
10540187,1,4,1,3,4,4,2,4,2,2,2,5,0,0,1,0,1,0,0,0,96,34,5,3.2,0,0,0,18,1
10540188,6,4,3,4,6,4,4,4,2,1,0,0,0,1,1,0,0,0,0,0,54,18,18,1.6,0,4.8,0,9,0
10540199,3,3,3,5,3,3,3,4,1,0,0,0,0,0,1,1,0,0,0,0,119,38,11,4.57,0,5.5,0,32,0
10540202,2,3,3,4,3,4,4,4,2,2,2,5,0,1,1,1,0,0,0,0,92,16,0,0,1.58,0,8.2,10,1
10540215,1,4,4,3,3,3,5,4,2,2,2,5,0,1,1,0,0,0,0,0,67,17,2,2.19,0,6.2,0,17,1
10540216,1,4,4,2,3,3,5,4,2,2,2,5,0,1,1,0,1,0,0,1,139,33,6,5.79,0,16.4,0,45,1
10540237,2,5,2,5,2,5,3,4,2,2,2,5,0,1,1,0,0,1,0,1,64,11,3,0,1.16,0,6,6.5,1
10540250,1,5,4,3,3,4,3,4,2,1,0,0,0,0,1,0,1,0,0,0,46,35,8,3.67,0,0,0,25,0
10540252,2,2,2,4,4,4,4,4,2,1,0,0,0,0,1,0,0,0,0,1,172,16,12,0,1.71,0,7.8,12,1
10540260,3,5,1,5,6,1,3,4,1,0,0,0,0,0,1,0,0,0,0,0,123,41,11,0,4.08,0,0,23.5,0
10540265,4,5,2,4,4,4,5,4,2,2,2,5,0,1,1,1,1,1,0,1,168,28,36,0,2.97,0,35.1,22,1
10540266,4,5,3,4,2,4,3,4,2,2,1,0,0,1,1,1,0,1,0,1,234,40,49,4.18,0,7.9,0,28.8,1
10540269,2,2,3,4,3,3,4,4,1,0,0,0,0,1,1,1,0,1,0,0,97,33,0,0,3.27,0,11,17.5,1
10540271,1,4,1,4,4,3,4,4,2,2,1,0,0,1,1,1,0,1,0,1,196,25,18,0,3.12,0,12.6,23,1
10540271,1,4,1,4,4,3,4,4,2,2,1,0,0,1,1,1,0,1,0,1,93,8,11,0,0.85,0,6,5.1,1
10540297,4,4,2,4,3,5,4,4,2,2,2,5,0,0,0,1,1,0,0,1,270,171,50,0,28.12,0,43.3,208,1
10540298,4,4,2,5,6,5,4,4,2,2,2,5,0,0,0,1,0,0,0,1,167,63,17,0,9.76,0,12.5,68,0
10540305,2,2,3,5,4,4,4,4,2,1,0,0,1,0,0,1,1,0,0,0,101,19,0,0,1.98,0,5.6,14.5,1
10540306,2,2,2,5,2,3,3,4,2,1,0,0,1,0,0,1,1,0,0,0,264,88,27,0,13.6,0,27.6,102,1
10540354,2,4,1,5,2,5,5,4,2,2,1,0,0,1,1,1,0,0,0,0,76,14,7,0,1.53,0,3.8,10.9,1
10540384,1,4,4,5,4,1,5,4,2,2,2,5,1,1,1,1,1,0,0,0,65,17,0,0,1.79,0,4.8,12,1
10540462,1,1,1,4,4,4,4,4,2,1,0,0,1,0,0,1,1,0,0,0,141,38,4,0,4.31,0,5.8,26.5,1
10540514,6,6,5,3,4,4,4,4,1,0,0,0,1,1,0,1,0,0,0,0,67,14,0,0,1.39,0,2.4,9.5,1
10540514,6,6,5,3,4,4,4,4,1,0,0,0,1,1,0,1,0,0,0,0,65,14,3,0,1.39,0,2.4,9.5,0
10540514,6,6,5,3,4,4,4,4,1,0,0,0,1,1,0,1,0,0,0,0,44,6,0,0,0.72,0,2.2,5.5,1
10540514,6,6,5,3,4,4,4,4,1,0,0,0,1,1,0,1,0,0,0,0,103,26,13,0,2.84,0,8.6,22,0
10540515,2,3,3,4,2,2,2,4,2,1,0,0,0,1,0,0,0,0,0,1,207,55,27,0,5.98,0,24.8,44,1
10540515,2,3,3,4,2,2,2,4,2,1,0,0,0,1,0,0,0,0,0,1,68,16,0,0,1.76,0,2.6,13,1
10540516,2,4,3,2,3,2,3,4,2,1,0,0,0,1,0,0,1,0,0,1,55,38,3,0,3.77,0,5.5,25,1
10540517,1,5,5,5,6,5,5,4,2,1,0,0,0,1,1,0,1,1,0,0,117,33,0,3.48,0,8.8,0,23,1
10540518,1,5,4,5,6,5,5,4,2,1,0,0,0,1,1,0,0,1,0,1,96,32,3,3.41,0,11,0,18,1
10540531,1,5,3,5,3,3,4,3,0,0,0,0,1,1,0,1,1,0,0,1,166,44,5,0,4.47,0,12.2,28.5,1
10540532,1,5,3,5,5,3,4,3,0,0,0,0,1,1,0,1,0,0,0,0,119,37,12,0,4.08,0,13.6,27.5,1
10540532,1,5,3,5,5,3,4,3,0,0,0,0,1,1,0,1,0,0,0,0,32,6,0,0,0.72,0,3,5.5,1
10540548,2,3,3,6,3,3,4,4,2,2,1,0,0,0,1,1,1,1,0,0,110,35,0,3.4,0,11,0,19,1
10540548,2,3,3,6,3,3,4,4,2,2,1,0,0,0,1,1,1,1,0,0,55,18,4,1.71,0,4.8,0,9.5,1
10540559,4,4,2,3,3,3,4,4,2,1,0,0,0,1,1,1,1,1,0,0,46,5,0,0,0.72,0,5.6,4.1,1
10540559,4,4,2,3,3,3,4,4,2,1,0,0,0,1,1,1,1,1,0,0,265,45,37,0,6.31,0,19.2,42,1
10540560,1,4,3,5,2,3,5,4,1,0,0,0,0,1,1,1,1,0,0,0,81,12,10,0,1.23,0,4.8,9,1
10540560,1,4,3,5,2,3,5,4,1,0,0,0,0,1,1,1,1,0,0,0,60,18,0,0,1.76,0,4.8,9.5,1
10540563,3,4,3,3,4,2,2,4,2,2,2,5,0,1,1,1,0,1,0,1,461,117,41,0,17.77,0,79.4,134,1
10540606,1,4,3,5,3,2,5,4,1,0,0,0,1,0,1,1,1,0,0,1,164,24,18,0,2.46,0,4.8,18.5,1
10540647,1,4,4,4,4,3,4,4,2,2,2,5,0,1,1,1,0,0,0,0,146,18,5,0,1.89,0,12.4,14,1
10540659,2,3,2,5,5,4,6,3,0,0,0,0,1,0,1,1,1,0,0,1,71,10,12,0,1.07,0,4.8,8,1
10540660,2,3,2,5,5,4,6,3,0,0,0,0,1,0,1,1,1,0,0,1,71,10,12,0,1.07,0,4.8,8,1
10540672,1,2,3,4,3,4,4,4,2,2,1,0,0,1,1,1,0,1,0,0,84,31,12,3.24,0,9.6,0,23,1
10540675,3,5,3,4,4,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,25,3,0,0,0.4,0,2.2,2,1
10540675,3,5,3,4,4,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,23,4,0,0,0.49,0,2.8,3,1
10540689,1,2,4,4,3,4,3,4,2,2,2,5,0,1,1,1,1,1,0,0,141,28,17,0,2.92,0,6,21,1
10540689,1,2,4,4,3,4,3,4,2,2,2,5,0,1,1,1,1,1,0,0,118,28,15,0,2.92,0,6,21,1
10540692,4,3,2,3,3,5,4,4,2,2,2,5,0,1,1,1,1,1,0,1,278,62,40,0,8.54,0,61.6,65.5,1
10540692,4,3,2,3,3,5,4,4,2,2,2,5,0,1,1,1,1,1,0,1,33,4,0,0,0.54,0,5.4,3.1,1
10540803,3,2,3,3,2,3,4,4,2,0,0,0,0,1,1,1,1,0,0,0,119,30,21,0,3.4,0,5.5,22,0
10540806,4,3,4,3,3,4,3,4,1,0,0,0,1,1,0,1,0,0,0,0,22,5,0,0,0.53,0,2.2,3,1
10540807,3,4,4,3,1,5,5,2,0,0,0,0,0,0,0,0,1,0,0,1,59,11,0,1.2,0,2.4,0,7,1
10541086,2,5,3,4,3,2,5,4,2,2,1,0,0,0,1,0,0,1,0,0,245,71,15,0,9.37,0,14.2,66,1
10541086,2,5,3,4,3,2,5,4,2,2,1,0,0,0,1,0,0,1,0,0,85,35,3,3.54,0,5.5,0,24,1
10980037,2,4,2,5,4,4,5,4,2,2,2,5,0,0,0,1,0,0,1,1,17,17,0,1.71,0,0,0,11,0
10980080,4,4,6,2,2,3,2,4,2,2,1,0,0,1,1,0,0,1,0,1,126,20,27,0,2.21,0,3.1,15.5,1
10980080,4,4,6,2,2,3,2,4,2,2,1,0,0,1,1,0,0,1,0,1,153,41,18,0,6.99,0,5.5,52,1
10980080,4,4,6,2,2,3,2,4,2,2,1,0,0,1,1,0,0,1,0,1,48,20,0,0,2.21,0,2.2,15.5,1
10980080,4,4,6,2,2,3,2,4,2,2,1,0,0,1,1,0,0,1,0,1,114,20,28,0,2.14,0,3.1,14.5,1
10980111,2,3,4,4,4,4,4,3,0,0,0,0,1,0,0,1,1,0,0,0,203,29,2,0,3.6,0,14,23,1
10980195,2,4,3,4,4,4,5,4,1,0,0,0,0,0,0,0,0,0,0,1,109,35,36,0,4.51,0,19,39,1
11460028,2,4,4,2,5,4,4,4,2,2,1,0,0,0,1,1,1,0,0,0,192,96,33,0,17.45,0,48.2,130.5,0
11460070,1,4,4,4,5,3,3,4,2,2,2,5,0,1,1,1,0,0,0,1,155,47,33,5.93,0,22.6,0,43,1
11460082,3,5,3,4,3,3,3,4,2,2,1,0,0,1,0,1,0,0,0,0,206,71,32,9.56,0,26,0,71,1
14050001,2,5,3,4,4,4,2,4,2,1,0,0,0,1,1,1,0,1,0,0,70,10,0,1.02,0,3.4,0,5,1
14050001,2,5,3,4,4,4,2,4,2,1,0,0,0,1,1,1,0,1,0,0,35,9,0,1,0,3.4,0,5,1
14050047,2,1,4,4,2,4,4,4,2,2,2,5,0,1,1,0,1,0,0,0,183,69,53,0,12.93,0,17.2,96,1
14050047,2,1,4,4,2,4,4,4,2,2,2,5,0,1,1,0,1,0,0,0,181,53,16,0,9.76,0,18.2,75,1
14050075,5,5,3,3,4,4,2,4,2,1,0,0,0,1,1,1,1,1,1,0,145,54,20,9.84,0,0,0,76,0
14050133,3,2,2,2,5,5,4,4,2,2,2,5,0,0,1,1,1,0,1,0,284,95,74,0,17.77,0,0,128,1
14050134,1,3,2,4,4,2,2,4,2,2,2,5,0,0,1,1,0,0,0,1,105,24,15,0,3.93,0,10.9,28,1
14050180,2,4,1,5,5,3,4,3,0,0,0,0,0,0,1,0,0,1,0,0,55,9,0,1.29,0,3.4,0,9.5,1
14050180,2,4,1,5,5,3,4,3,0,0,0,0,0,0,1,0,0,1,0,0,20,8,0,0,0.79,0,3.4,4,1
14050182,4,4,2,5,3,4,4,4,2,1,0,0,0,1,1,1,1,1,0,1,107,30,22,0,4.41,0,9.6,33,1
14050186,4,4,3,2,5,5,2,4,2,2,1,0,0,1,1,1,1,1,0,0,126,20,30,0,2.32,0,11.4,15,1
14050186,4,4,3,2,5,5,2,4,2,2,1,0,0,1,1,1,1,1,0,0,134,20,28,2.32,0,8,0,15,1
14050193,5,5,2,1,2,1,1,4,2,1,0,0,0,0,1,1,0,1,0,1,97,24,3,0,2.74,0,3.4,17,1
14050226,3,3,3,6,6,6,6,4,1,0,0,0,1,0,0,0,0,0,0,0,18,6,0,0.64,0,2.2,0,3.5,0
14050250,1,3,4,5,4,1,4,4,2,2,2,5,1,1,1,1,1,0,0,0,170,112,33,0,23.85,0,28.2,184,0
19130012,1,5,5,1,5,1,5,3,0,0,0,0,0,1,0,1,1,0,0,0,99,58,7,10.89,0,30.6,0,81,1
19130036,3,5,1,4,4,2,4,4,2,2,1,0,0,1,0,1,0,1,0,1,253,46,83,0,6.74,0,41,53.5,1
19130062,1,2,3,5,5,2,2,4,2,1,0,0,0,1,1,1,0,1,0,0,16,3,0,0,0.34,0,3.4,2,1
19130062,1,2,3,5,5,2,2,4,2,1,0,0,0,1,1,1,0,1,0,0,78,22,7,0,4.11,0,19.2,32,1
19130062,1,2,3,5,5,2,2,4,2,1,0,0,0,1,1,1,0,1,0,0,18,2,0,0,0.27,0,3,1,1
19130080,1,2,3,5,4,5,5,4,2,2,2,5,0,1,1,1,0,1,0,1,98,31,13,0,4.57,0,15.2,31.6,1
19130080,1,2,3,5,4,5,5,4,2,2,2,5,0,1,1,1,0,1,0,1,14,2,0,0,0.37,0,0,1.2,1
19130092,2,3,2,4,4,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,127,36,0,5.36,0,29,0,39,1
19130092,2,3,2,4,4,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0.63,0,0,2.4,1
19130148,1,1,2,5,6,5,5,4,1,0,0,0,0,1,1,1,0,1,1,0,76,27,4,0,3.53,0,7.9,25.5,1
19130148,1,1,2,5,6,5,5,4,1,0,0,0,0,1,1,1,0,1,1,0,12,8,0,0.96,0,2.2,0,6,1
19130149,1,5,6,1,5,2,5,3,0,0,0,0,0,1,1,1,1,1,0,1,162,34,54,5.12,0,21.6,0,37,1
19130149,1,5,6,1,5,2,5,3,0,0,0,0,0,1,1,1,1,1,0,1,150,32,15,5.07,0,23.2,0,35,1
19130179,2,4,4,4,3,4,4,4,1,0,0,0,1,0,1,1,1,0,0,1,44,12,0,1.39,0,6.8,0,10.5,1
